ID: tm4726 | Título: 'Fast and Furious' | Ano de lançamento: 2001 | Gêneros: 'action,comedy' | Avaliação IMDB: 9.8
ID: ts100116 | Título: 'Blown Away' | Ano de lançamento: 2019 | Gêneros: '['reality', 'comedy', 'history', 'documentation']' | Avaliação IMDB: 7.099999904632568
ID: ts100354 | Título: 'Monzón: A Knockout Blow' | Ano de lançamento: 2019 | Gêneros: '['sport', 'crime', 'drama', 'history']' | Avaliação IMDB: 7.900000095367432
ID: ts100359 | Título: 'Medical Police' | Ano de lançamento: 2020 | Gêneros: '['comedy']' | Avaliação IMDB: 5.900000095367432
ID: ts101042 | Título: 'The 43' | Ano de lançamento: 2019 | Gêneros: '['documentation', 'war']' | Avaliação IMDB: 7.099999904632568
ID: ts101060 | Título: 'Merry Happy Whatever' | Ano de lançamento: 2019 | Gêneros: '['comedy']' | Avaliação IMDB: 6.400000095367432
ID: ts101408 | Título: 'The Mess You Leave Behind' | Ano de lançamento: 2020 | Gêneros: '['crime', 'drama', 'thriller']' | Avaliação IMDB: 6.699999809265137
ID: ts101503 | Título: 'Team Kaylie' | Ano de lançamento: 2019 | Gêneros: '['comedy', 'family']' | Avaliação IMDB: 4.099999904632568
ID: ts10206 | Título: 'Ever After High' | Ano de lançamento: 2013 | Gêneros: '['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance']' | Avaliação IMDB: 7.699999809265137
ID: ts102933 | Título: 'Les de l'hoquei' | Ano de lançamento: 2019 | Gêneros: '['drama', 'sport']' | Avaliação IMDB: 6.800000190734863
ID: ts103133 | Título: 'I Am Not Okay with This' | Ano de lançamento: 2020 | Gêneros: '['drama', 'fantasy', 'scifi', 'comedy']' | Avaliação IMDB: 7.5
ID: ts103209 | Título: 'Exhibit A' | Ano de lançamento: 2019 | Gêneros: '['documentation', 'thriller', 'crime', 'family']' | Avaliação IMDB: 6.300000190734863
ID: ts103213 | Título: 'Queen Sono' | Ano de lançamento: 2020 | Gêneros: '['thriller', 'action', 'crime', 'drama']' | Avaliação IMDB: 5.900000095367432
